LAT,LON,total_fCO2_obs,total_SST_obs,total_salinity_obs,months_with_data,total_cruises
-12.375,130.375,17526,17526,17526,2,3
38.125,141.375,13722,13722,13722,13,16
-66.375,110.625,11460,11460,11460,2,2
51.375,2.875,11226,11226,11226,10,13
54.625,12.375,9559,9559,9559,21,31
55.125,14.125,8843,8843,8843,21,33
55.375,14.625,8828,8828,8828,21,33
-23.375,151.875,8282,8282,8282,24,28
-42.625,173.625,7846,7846,7846,4,4
56.125,16.875,7750,7750,7750,21,33
-35.875,136.375,7735,7735,7735,24,27
-42.625,148.125,7660,7660,7660,23,25
57.125,18.875,7644,7644,7644,19,21
55.875,16.125,7584,7584,7584,21,34
55.625,15.375,7396,7396,7396,21,33
51.375,2.625,7321,7321,7321,10,11
54.875,13.125,7288,7288,7288,21,30
54.875,13.375,7189,7189,7189,21,32
23.875,-76.125,7129,7129,7129,1,1
55.625,15.125,6983,6983,6983,21,32
55.875,15.875,6526,6526,6526,21,33
54.875,13.625,6440,6440,6440,21,32
54.625,12.625,6385,6385,6385,21,31
57.625,19.625,6374,6374,6374,19,21
57.875,19.875,6336,6336,6336,19,21
43.125,-70.625,6283,6283,6283,23,28
56.125,16.625,6213,6213,6213,21,33
56.875,18.625,6198,6198,6198,19,21
57.375,19.125,6177,6177,6177,19,21
59.625,23.875,6087,6087,6087,21,23
59.625,23.625,6076,6076,6076,21,23
58.875,21.375,6036,6036,6036,20,23
40.625,141.625,5930,5930,5930,3,3
55.125,14.375,5908,5908,5908,21,33
59.125,21.875,5832,5832,5832,21,24
54.875,12.875,5785,5785,5785,21,31
56.625,18.125,5768,5768,5768,19,21
54.375,11.625,5698,5698,5698,21,31
58.375,20.625,5620,5620,5620,19,21
34.375,-120.875,5535,5535,5535,24,30
56.875,18.375,5492,5492,5492,19,21
58.125,20.375,5351,5351,5351,19,21
59.125,21.625,5333,5333,5333,21,24
58.625,20.875,5312,5312,5312,20,22
24.875,-80.625,5190,5190,5190,23,52
51.625,2.875,5145,5145,5145,9,11
56.625,17.875,5108,5108,5108,19,21
18.375,-64.625,4868,4868,4868,8,11
59.375,22.375,4790,4790,4790,21,23
58.875,21.125,4655,4655,4655,20,22
57.375,19.375,4631,4631,4631,19,21
58.625,21.125,4618,4618,4618,19,21
59.625,24.125,4570,4570,4570,21,23
55.875,16.375,4527,4527,4527,21,34
51.375,3.125,4511,4511,4511,10,11
-13.875,121.875,4489,4489,4489,2,2
55.375,14.375,4466,4466,4466,21,33
58.125,20.125,4441,4441,4441,19,21
33.375,-122.625,4431,4431,4431,18,20
55.625,15.625,4244,4244,4244,21,32
55.375,14.875,4079,4079,4079,21,32
59.375,22.625,4028,4028,4028,21,23
-45.125,173.125,3950,3950,3950,2,2
55.125,13.875,3875,3875,3875,20,26
56.375,17.375,3863,3863,3863,19,21
56.375,17.125,3819,3819,3819,21,28
68.125,-12.625,3751,3751,3724,17,19
-11.125,133.375,3746,3746,3746,1,1
55.625,14.875,3627,3627,3627,20,27
40.875,141.625,3593,3593,3593,6,6
59.375,22.125,3586,3586,3586,19,21
-68.625,77.875,3534,3534,3534,3,3
38.875,142.125,3504,3504,3504,8,10
58.875,21.625,3446,3446,3446,20,22
55.875,15.625,3445,3445,3445,19,26
-45.125,172.875,3418,3418,3418,2,2
36.875,-76.125,3400,3400,3400,17,18
57.875,20.125,3353,3353,3353,19,21
59.125,22.125,3349,3349,3349,20,22
40.875,141.875,3332,3332,3332,6,7
38.125,141.125,3321,3321,3321,9,9
17.875,-67.125,3313,3313,3306,16,17
57.625,19.375,3287,3287,3287,19,21
59.625,23.375,3283,3283,3283,21,23
54.875,13.875,3282,3282,3282,21,29
25.875,-77.875,3250,3250,3250,16,69
59.375,22.875,3179,3179,3179,20,22
59.375,23.125,3167,3167,3167,20,22
58.375,20.875,3123,3123,3123,19,21
59.625,24.375,3108,3108,3108,20,22
65.875,2.125,3095,3095,3095,16,16
42.375,143.875,3086,3086,3086,5,5
38.375,142.125,3036,3036,3036,4,4
56.125,16.375,3007,3007,3007,19,25
-44.125,174.375,2989,2989,2989,3,3
59.625,22.875,2984,2984,2984,18,20
59.625,23.125,2966,2966,2966,18,20
59.875,24.375,2953,2953,2953,18,20
59.375,23.375,2844,2844,2844,20,22
-42.625,173.875,2809,2809,2809,6,6
-43.875,174.375,2773,2773,2773,3,3
56.125,17.125,2711,2711,2711,19,21
58.375,20.375,2634,2634,2634,20,21
36.625,141.125,2627,2627,2627,6,6
-41.625,174.625,2616,2616,2616,6,7
-45.125,172.375,2608,2608,2608,2,2
-14.375,121.375,2596,2596,2596,2,2
39.125,142.125,2575,2575,2575,9,11
-67.625,-68.125,2508,2508,2508,5,6
-42.875,173.875,2484,2484,2484,10,12
38.875,141.875,2425,2425,2425,10,10
37.125,141.125,2412,2412,2412,3,3
-66.625,139.875,2401,2401,2401,1,1
58.625,20.625,2380,2380,2380,20,22
36.875,141.375,2321,2321,2321,5,6
59.625,22.625,2298,2298,2298,18,20
-65.125,128.375,2258,2258,2258,1,1
26.125,-79.875,2248,2248,2248,12,84
37.875,141.375,2224,2224,2224,9,9
-45.125,172.625,2207,2207,2207,2,2
56.875,17.375,2197,2197,2197,19,31
41.375,-71.375,2160,2160,2160,12,20
-45.625,171.875,2155,2155,2155,1,1
29.375,-86.375,2144,2144,2144,3,5
26.125,-79.375,2142,2142,2142,16,73
-43.375,147.625,2132,2132,2132,10,13
-41.625,176.125,2070,2070,2070,1,1
37.625,141.625,2069,2069,2069,7,8
18.375,-65.125,2046,2046,2046,16,55
29.125,-86.125,2044,2044,2044,2,4
36.875,141.625,2042,2042,2042,5,5
-13.375,121.625,2026,2026,2026,2,2
-64.875,-64.375,2025,2025,2025,9,11
51.375,2.375,2021,2021,2021,9,11
28.875,-90.375,2005,2005,2005,9,9
57.875,18.375,1997,1997,1997,19,31
25.125,-80.125,1989,1989,1989,18,43
54.625,12.125,1989,1989,1989,19,23
19.375,-75.375,1983,1983,1983,6,9
54.875,12.625,1982,1982,1982,19,24
59.125,21.375,1973,1973,1973,19,21
26.125,-78.875,1954,1954,1954,15,72
40.125,142.125,1943,1943,1943,8,9
57.375,17.625,1907,1907,1907,19,31
59.125,22.375,1895,1895,1895,20,22
-27.125,154.625,1878,1878,1878,1,1
59.875,24.625,1864,1864,1864,8,10
26.125,-79.125,1862,1862,1862,15,71
32.875,135.875,1855,1855,1855,3,3
39.625,142.375,1853,1853,1853,8,9
31.375,-80.875,1850,1850,1850,9,10
-11.125,133.125,1827,1827,1827,1,1
54.625,12.875,1816,1816,1816,21,26
-65.875,144.375,1802,1802,1802,2,2
-43.125,173.875,1791,1791,1791,1,1
25.875,-77.625,1789,1789,1789,16,70
26.125,-79.625,1782,1782,1782,16,79
25.625,-80.125,1771,1771,1771,19,50
69.375,-81.125,1764,1764,1764,1,1
59.875,24.875,1763,1763,1763,8,10
57.125,19.125,1754,1754,1754,19,21
24.375,-81.875,1737,1737,1737,18,35
39.625,142.125,1731,1731,1731,8,9
71.875,-150.375,1728,1728,1728,2,2
57.125,17.625,1728,1728,1728,19,30
-14.375,121.125,1719,1719,1719,2,2
40.125,-70.875,1683,1683,1683,4,6
39.375,-68.875,1681,1681,1681,2,2
57.125,18.625,1672,1672,1672,18,19
59.375,21.875,1669,1669,1669,19,21
26.125,-78.375,1665,1665,1665,16,73
58.375,19.875,1651,1651,1651,19,21
68.875,14.375,1647,1647,1647,2,3
57.625,18.125,1627,1627,1627,19,27
25.375,-80.125,1622,1622,1622,19,47
38.375,141.625,1621,1621,1621,8,8
18.375,-64.875,1614,1614,1614,13,29
-27.125,155.375,1613,1613,1613,1,1
57.625,17.875,1606,1606,1606,19,30
72.625,-144.875,1599,1599,1599,2,2
51.625,3.125,1597,1597,1597,9,10
42.875,-70.125,1587,1587,1587,9,9
36.625,140.875,1578,1578,1578,2,2
26.125,-78.625,1576,1576,1576,16,71
24.625,-83.125,1575,1575,1575,2,2
55.375,-7.125,1570,1570,1570,2,2
38.125,141.625,1562,1562,1562,12,14
58.125,19.375,1535,1535,1535,19,21
42.625,144.375,1528,1528,1528,5,5
18.625,-66.125,1520,1520,1520,16,54
42.875,-70.375,1515,1515,1515,9,9
59.875,24.125,1513,1513,1513,17,19
70.375,-162.125,1498,1498,1498,3,3
55.875,16.625,1471,1471,1471,21,28
19.375,-87.125,1469,1469,1469,13,38
25.625,-79.875,1465,1465,1465,14,49
41.375,143.125,1463,1463,1463,4,4
50.375,-8.875,1457,1457,1457,4,4
63.375,6.625,1455,1455,1455,1,1
-37.625,177.125,1452,1452,1452,1,1
39.875,142.375,1448,1448,1448,7,9
37.125,141.375,1444,1444,1444,6,6
28.625,-85.875,1440,1440,1440,2,4
44.625,-67.625,1438,1438,1438,2,2
39.875,-70.875,1437,1437,1437,3,4
38.375,141.875,1436,1436,1436,8,12
58.625,20.375,1435,1435,1435,19,21
25.875,-78.125,1428,1428,1428,15,65
49.625,-3.375,1427,1427,1427,5,5
-41.375,174.875,1418,1418,1418,8,12
57.875,19.625,1405,1405,1405,17,18
42.875,145.375,1404,1404,1404,4,4
57.625,19.875,1400,1400,1400,19,21
41.125,141.875,1398,1398,1398,8,9
25.625,-76.625,1396,1396,1396,16,55
42.375,145.125,1383,1383,1383,6,6
58.375,20.125,1377,1377,1377,19,21
71.625,-151.125,1376,1376,1376,3,3
57.875,18.625,1375,1375,1375,19,21
-12.125,130.625,1374,1374,1374,2,2
28.625,-85.625,1372,1372,1372,2,4
58.125,19.125,1367,1367,1367,19,21
38.625,141.875,1364,1364,1364,10,11
72.875,-150.125,1352,1352,1352,2,2
24.375,-81.625,1350,1350,1350,18,35
25.625,-76.875,1346,1346,1346,16,56
-65.875,144.625,1334,1334,1334,2,2
70.625,-122.875,1333,1333,1333,3,3
42.125,145.125,1332,1332,1332,7,7
19.125,-87.375,1330,1330,1330,12,30
-27.375,153.875,1329,1329,1329,1,1
-43.875,147.875,1326,1326,1326,4,4
51.375,3.375,1322,1322,1322,6,6
18.625,-65.875,1319,1319,1319,15,47
-14.125,121.375,1311,1311,1311,2,2
22.125,-85.125,1311,1311,1311,15,51
42.625,144.875,1305,1305,1305,6,7
56.625,17.125,1296,1296,1296,17,28
-68.625,77.625,1294,1294,1294,3,3
37.875,141.625,1290,1290,1290,7,9
58.125,20.625,1289,1289,1289,19,21
-27.375,154.125,1282,1282,1282,1,1
50.875,-10.625,1279,1279,1279,3,3
25.875,-79.875,1278,1278,1278,16,68
29.125,-86.375,1274,1274,1274,2,4
18.125,-64.625,1259,1259,1259,14,35
72.625,-144.625,1245,1245,1245,2,2
-62.375,-60.625,1237,1237,1237,7,7
41.875,143.875,1231,1231,1231,6,6
19.625,-87.125,1228,1228,1228,13,36
51.375,-9.625,1226,1226,1226,10,11
73.625,13.375,1221,1221,1221,2,2
23.375,-83.375,1221,1221,1221,15,50
58.625,21.375,1218,1218,1218,19,21
71.875,-150.875,1208,1208,1208,3,4
24.625,-80.875,1207,1207,1207,16,35
26.125,-80.125,1202,1202,1202,15,89
40.375,-70.875,1201,1201,1201,3,4
40.125,142.375,1194,1194,1194,5,5
22.875,-84.375,1193,1193,1193,15,46
-43.375,148.125,1187,1187,1187,5,6
41.375,145.625,1186,1186,1186,4,4
35.625,-121.875,1186,1186,1186,3,3
-62.125,-58.375,1183,1183,1183,3,3
56.375,17.625,1178,1178,1178,19,21
55.625,15.875,1174,1174,1174,21,25
23.125,-83.875,1173,1173,1173,15,51
18.625,-65.625,1155,1155,1155,15,52
-64.625,136.375,1153,1153,1153,1,1
24.625,-81.125,1147,1147,1147,14,23
42.875,-69.875,1139,1139,1139,8,8
40.625,141.875,1137,1137,1137,5,5
29.625,-86.875,1133,1133,1133,3,5
51.375,-9.375,1125,1125,1125,10,11
58.125,18.875,1118,1118,1118,19,21
21.875,-85.375,1114,1114,1114,15,46
41.125,-71.375,1110,1110,1110,11,17
41.875,-70.375,1109,1109,1109,6,7
22.375,-84.875,1107,1107,1107,15,52
-42.375,173.875,1102,1102,1102,5,5
18.875,-87.625,1098,1098,1098,13,33
22.625,-84.625,1097,1097,1097,15,51
57.125,17.375,1096,1096,1096,16,27
49.125,-9.625,1096,1096,1096,3,3
25.875,-80.125,1093,1093,1093,17,64
55.375,-160.375,1069,1069,1054,4,4
-43.875,147.625,1068,1068,1068,4,4
-27.125,154.375,1059,1059,1059,1,1
21.625,-85.625,1052,1052,1052,15,46
24.875,-80.375,1048,1048,1048,19,40
73.125,-150.125,1041,1041,1041,2,2
35.875,-74.875,1041,1041,1041,7,8
41.375,-66.125,1040,1040,1040,3,3
34.875,-75.125,1038,1038,1038,5,6
45.125,-66.125,1029,1029,1029,2,2
59.125,-148.625,1024,1024,1024,5,7
29.375,-86.625,1020,1020,1020,3,5
46.875,-124.875,1020,1020,1020,5,5
25.375,-77.375,1019,1019,1019,14,38
56.625,18.375,1017,1017,1017,19,21
31.875,-77.375,1017,1017,1017,2,2
22.875,-84.125,1016,1016,1016,15,47
20.625,-86.875,1014,1014,1014,15,43
37.625,141.875,1009,1009,1009,5,5
19.875,-87.125,1007,1007,1007,13,32
72.625,-150.125,1004,1004,1004,1,1
41.625,143.625,1004,1004,1004,4,4
41.875,142.875,1000,1000,1000,3,3
20.375,-87.125,997,997,997,13,32
40.375,141.875,991,991,991,6,6
42.375,144.125,986,986,986,6,6
49.125,-9.875,979,979,979,1,1
23.125,-83.625,979,979,979,15,51
41.375,140.375,976,976,976,4,5
58.875,20.875,970,970,970,19,21
-43.375,147.875,967,967,967,8,9
60.125,25.125,963,963,963,8,10
57.375,17.875,963,963,963,19,25
71.125,-140.125,958,958,958,1,1
-43.375,179.625,958,958,958,2,2
25.625,-77.125,952,952,952,16,55
24.375,-81.375,946,946,946,18,37
24.625,-80.625,946,946,946,19,52
23.375,-83.125,945,945,945,15,46
77.375,30.375,941,941,941,1,1
71.875,-94.375,940,940,940,1,1
27.125,-79.875,939,939,939,10,11
28.875,-85.875,939,939,939,2,4
73.875,-149.875,932,932,932,3,3
35.625,-74.875,932,932,932,6,7
74.125,-149.875,931,931,931,2,2
-65.375,112.125,930,930,930,1,1
28.375,-85.375,929,929,929,2,4
-27.125,154.875,929,929,929,1,1
58.125,19.625,928,928,928,19,21
25.375,-79.875,918,918,918,14,44
28.375,-85.625,917,917,917,2,4
56.625,17.625,911,911,911,19,21
-65.875,144.875,910,910,910,1,1
73.625,-146.625,910,910,910,1,2
56.375,16.875,909,909,909,19,30
36.625,141.375,908,908,908,5,6
-27.125,155.125,904,904,904,1,1
25.625,-77.625,903,903,903,14,39
47.875,-4.875,901,901,901,3,3
39.375,-69.125,900,900,900,2,2
49.125,-9.375,898,898,898,2,2
28.875,-86.125,898,898,898,2,4
51.875,-15.125,896,896,896,2,2
24.625,-81.875,895,895,895,13,18
18.625,-66.375,889,889,889,16,52
47.125,-7.375,887,887,887,3,3
18.875,-66.625,887,887,887,15,48
18.125,-65.125,886,886,886,13,34
48.375,-126.375,878,878,878,5,6
37.875,141.875,875,875,875,6,7
20.625,-86.125,874,874,874,15,43
53.875,-160.125,874,874,874,1,1
39.375,-70.375,873,873,873,2,2
-44.625,175.125,872,872,872,2,2
20.625,-86.375,869,869,869,15,43
37.375,141.875,869,869,869,2,2
25.875,-79.625,869,869,869,12,39
-27.375,154.625,865,865,865,1,1
37.125,-75.625,860,860,860,4,4
41.875,145.375,860,860,860,5,5
71.625,-140.125,860,860,860,1,1
59.625,-149.375,859,859,859,9,12
49.625,-5.125,855,855,855,1,1
24.875,-79.625,855,855,855,14,39
51.375,-9.125,851,851,851,11,13
50.875,-8.625,850,850,850,3,5
68.125,10.375,850,850,850,2,2
24.375,-83.125,849,849,849,3,3
18.125,-63.375,847,847,847,12,26
39.625,-70.875,846,846,846,1,1
41.125,145.625,844,844,844,3,3
29.625,-86.625,841,841,841,3,5
25.125,-79.625,835,835,835,14,39
39.625,146.375,835,835,835,3,3
49.875,-7.875,834,834,834,1,1
44.625,-125.125,834,834,834,4,6
40.875,141.375,833,833,833,2,2
50.125,-8.125,832,832,832,1,1
61.375,-69.875,832,832,832,1,1
51.125,-8.625,831,831,831,5,7
32.625,135.375,828,828,828,10,10
-44.375,174.125,828,828,828,3,3
36.125,-122.375,827,827,827,4,4
20.125,-87.125,826,826,826,13,32
57.625,-152.375,823,823,823,6,10
-42.625,174.125,823,823,823,9,10
-27.375,154.375,821,821,821,1,1
44.375,-124.875,821,821,821,5,6
39.875,142.125,818,818,818,7,7
39.375,142.125,816,816,816,7,7
-44.125,148.375,813,813,813,6,6
48.125,-4.875,811,811,811,1,2
25.125,-80.375,809,809,809,13,14
21.125,-85.875,808,808,808,13,33
69.125,14.375,806,806,806,4,5
38.125,141.875,804,804,804,8,10
18.125,-64.875,804,804,804,14,35
27.875,-13.875,803,803,803,6,7
-65.625,139.875,802,802,802,2,2
37.375,141.375,801,801,801,6,6
-41.625,174.875,801,801,801,6,9
13.125,-59.125,800,800,800,2,4
31.625,128.875,800,800,800,3,3
18.875,-87.375,798,798,798,13,35
29.625,-87.125,797,797,797,3,5
24.375,-81.125,796,796,796,15,40
25.375,-79.625,796,796,796,14,38
49.625,-3.625,790,790,790,8,9
48.875,-6.375,785,785,785,3,3
40.375,142.125,785,785,785,4,5
39.875,146.375,779,779,779,5,5
71.375,-140.125,778,778,778,2,2
48.875,-6.625,777,777,777,1,1
61.375,-1.375,777,777,777,3,3
20.375,-86.375,776,776,776,13,32
23.625,-82.375,776,776,776,15,47
26.875,-79.375,776,776,776,9,10
51.375,-9.875,774,774,774,10,10
48.375,-126.125,771,771,771,5,6
40.125,146.125,771,771,771,6,6
51.125,-8.875,770,770,770,4,5
25.875,-77.375,768,768,768,16,52
11.625,-57.875,765,764,765,2,2
57.875,18.125,764,764,764,19,30
19.875,-65.875,764,764,764,14,36
-43.375,147.375,760,760,760,9,11
50.875,-8.375,760,760,760,3,3
40.875,145.875,753,753,753,3,4
-64.125,-61.875,751,751,751,13,21
24.625,-80.375,746,746,746,14,32
37.875,142.125,741,741,741,5,6
36.125,-74.875,741,741,741,7,8
55.125,13.625,741,741,741,19,22
-66.125,147.125,739,739,739,1,1
49.375,-9.625,737,737,737,3,3
48.625,-126.875,736,736,736,4,4
28.375,-13.125,735,735,735,1,1
29.375,-86.125,735,735,735,2,4
18.625,-65.375,732,732,732,15,35
50.625,-8.875,731,731,731,3,3
41.375,142.875,730,730,730,4,4
71.375,-151.875,729,729,729,2,2
39.875,136.375,727,727,727,3,3
25.375,-77.125,723,723,723,14,31
-65.875,-66.125,723,723,723,3,3
79.125,6.125,722,722,722,2,2
57.875,-147.625,721,721,721,5,6
20.125,-86.625,721,721,721,13,31
25.125,-77.375,720,720,720,14,38
24.875,-80.125,720,720,720,15,44
23.875,-73.625,720,720,720,15,40
38.625,141.625,719,719,719,3,3
50.375,-8.625,715,715,715,3,3
-44.625,175.375,714,714,714,2,2
43.125,145.625,713,713,713,1,1
36.375,141.125,712,712,712,5,6
70.875,-140.125,712,712,712,1,1
45.375,145.125,712,712,712,2,2
43.375,-67.625,712,712,712,3,4
74.875,15.375,710,710,710,3,3
23.625,-73.125,709,709,709,17,55
42.125,-65.375,709,709,709,1,1
40.875,-66.625,707,707,707,4,5
58.125,-147.625,707,707,707,4,5
41.875,-69.875,705,705,705,3,3
55.375,15.125,703,703,703,21,26
56.375,-146.375,702,702,702,2,2
27.125,-79.625,702,702,702,8,9
23.625,-82.875,702,702,702,13,40
72.375,-150.125,701,701,701,2,2
49.375,-9.875,699,699,699,2,2
18.375,-65.375,699,699,699,14,36
19.125,-66.875,698,698,698,14,32
47.125,-8.125,696,696,696,2,3
58.375,19.625,696,696,696,19,21
41.625,141.375,695,695,695,5,6
22.625,-84.875,694,694,694,15,43
-43.625,148.125,690,690,690,6,7
39.875,-73.875,689,689,689,9,11
-65.625,149.375,689,689,689,1,1
35.875,-5.625,689,689,689,6,7
58.125,-147.875,687,687,687,4,5
48.125,-126.625,687,687,687,3,3
22.125,-77.375,685,685,685,11,30
49.375,-9.375,684,684,684,2,2
69.625,-99.875,681,681,681,2,2
19.875,-72.375,680,680,680,11,23
55.875,-132.625,679,679,679,8,8
40.625,145.875,678,678,678,3,4
19.125,-75.375,671,671,671,6,7
42.875,145.125,666,666,666,2,2
39.125,-70.375,664,664,664,2,2
51.125,-10.125,661,661,661,5,7
21.375,-85.625,660,660,660,13,32
23.625,-83.125,659,659,659,12,25
21.875,-76.875,659,659,659,11,29
-64.375,-62.125,656,656,656,13,20
44.625,-124.625,656,656,656,7,10
20.875,-69.375,656,656,656,14,32
59.875,25.125,655,655,655,8,10
-14.125,121.125,654,654,654,2,2
70.375,-140.125,654,654,654,1,1
70.625,-140.125,654,654,654,1,1
23.375,-72.875,653,653,653,15,36
-67.875,-68.875,652,652,652,6,7
58.625,-148.375,649,649,649,4,5
48.625,-6.125,648,648,648,4,5
20.375,-68.625,645,645,645,14,34
23.375,-82.875,645,645,645,15,43
27.125,-79.375,642,642,642,8,9
71.875,-139.875,642,642,642,1,1
19.625,-65.375,640,640,640,13,33
-65.875,143.875,639,639,639,1,1
50.875,-8.875,638,638,638,3,4
8.125,-53.875,635,635,635,1,1
48.875,-123.125,634,634,634,7,7
65.625,10.125,634,634,634,1,1
47.625,-4.125,634,634,634,3,3
41.125,142.875,634,634,634,3,3
21.375,-68.625,633,633,633,13,33
20.875,-74.375,632,632,632,11,29
55.375,-8.125,628,628,628,2,2
76.625,-135.375,627,627,627,2,2
20.875,-67.625,626,626,626,13,33
79.125,8.875,626,626,626,1,1
40.375,142.375,625,625,625,4,4
20.125,-66.125,625,625,625,14,35
-43.875,147.375,625,625,625,3,3
23.375,-72.375,624,624,624,14,33
51.625,2.625,624,624,624,7,7
47.125,-8.875,624,624,624,3,4
47.125,-8.625,623,623,623,4,5
20.125,-66.375,623,623,623,14,34
21.625,-70.375,621,621,621,14,34
19.875,-67.875,620,620,620,14,32
22.375,-85.125,619,619,619,15,46
-44.125,147.375,617,617,617,5,5
39.125,142.375,616,616,616,4,4
24.375,-80.625,615,615,615,15,38
23.125,-72.375,615,615,615,16,35
-41.875,175.875,614,614,614,2,2
36.125,-5.375,613,613,613,5,5
-62.625,-61.125,611,611,611,5,5
-63.875,-66.875,611,611,611,3,3
22.125,-69.875,611,611,611,13,33
31.375,-77.125,611,611,611,1,1
-63.625,-61.375,610,610,610,13,19
19.375,-81.625,609,609,609,14,24
20.625,-67.125,608,608,608,13,33
50.875,-10.875,607,607,607,2,2
19.625,-67.625,607,607,607,14,33
20.625,-73.875,606,606,606,11,29
19.625,-86.875,606,606,606,13,32
21.875,-70.625,605,605,605,14,35
13.125,-59.375,605,605,605,1,1
20.375,-66.625,602,602,602,14,34
-73.625,-103.375,601,601,601,5,5
55.625,-132.375,600,600,600,8,8
49.125,-123.375,599,599,598,7,7
26.875,-79.875,599,599,599,10,11
-43.125,148.375,597,597,597,1,1
22.875,-71.375,595,595,595,13,31
-64.625,-62.375,594,594,594,13,20
21.875,-69.625,592,592,592,13,33
49.875,-125.125,592,592,592,7,7
79.125,6.625,591,591,591,3,3
41.125,142.625,591,591,591,3,3
44.625,-124.875,590,590,590,6,8
18.625,-63.875,589,589,589,12,26
41.625,143.125,587,587,587,4,4
22.875,-72.125,587,587,587,15,34
25.625,-79.625,587,587,587,14,31
21.625,-69.125,585,585,585,13,33
26.125,-78.125,585,585,585,16,53
-66.625,-69.875,584,584,584,2,2
70.125,-139.875,583,583,583,1,2
21.375,-85.875,580,580,580,15,45
23.625,-82.125,580,580,580,15,31
22.625,-70.875,579,579,579,13,32
22.375,-71.375,579,579,579,13,31
-44.125,174.625,579,579,579,2,2
47.125,-8.375,578,578,578,3,4
49.875,-3.375,577,577,577,5,6
-65.625,149.875,577,577,577,1,1
-63.125,-60.375,576,576,576,4,4
25.375,-81.375,575,575,575,8,8
65.625,10.375,573,573,573,2,2
-43.125,148.125,573,573,573,1,1
58.875,-148.625,572,572,572,5,7
19.625,-69.375,572,572,572,13,23
21.125,-68.125,570,570,570,13,33
21.875,-77.125,570,570,570,11,30
26.625,-78.875,570,570,570,2,2
48.375,-5.375,569,569,569,3,3
23.625,-82.625,568,568,568,13,38
39.625,142.625,567,567,567,5,5
24.125,-82.375,567,567,567,12,23
39.375,-70.125,567,567,567,1,1
20.875,-86.125,565,565,565,13,32
56.875,17.125,564,564,564,16,19
-26.125,153.875,564,564,564,1,1
22.125,-71.125,564,564,564,14,35
-64.875,116.875,563,563,563,2,2
20.875,-86.625,562,562,562,13,23
-12.625,130.125,562,562,562,1,1
61.125,-69.875,562,562,562,1,1
28.875,-86.375,561,561,561,2,4
-65.875,147.375,560,560,560,2,2
24.375,-80.875,558,558,558,15,38
21.375,-70.125,558,558,558,14,32
38.875,134.125,558,558,558,1,1
70.375,-162.375,557,557,557,3,4
18.125,-64.125,556,556,556,13,25
40.875,-72.125,556,556,556,3,4
71.625,-151.375,555,555,555,2,2
21.625,-76.125,555,555,555,11,26
49.125,-6.625,554,554,554,2,2
48.125,-126.375,554,554,554,4,4
-25.875,153.625,553,553,553,12,12
37.875,142.375,553,553,553,1,2
-66.125,-66.125,553,553,553,5,5
-27.375,153.625,552,552,552,16,16
44.625,145.375,552,552,552,2,2
-41.625,175.875,551,551,551,9,10
41.625,140.875,551,551,551,4,5
-26.375,153.375,550,550,550,17,18
27.125,-79.125,550,550,550,7,8
21.375,-75.625,550,550,550,11,28
49.375,-3.875,548,548,548,5,5
-54.875,-64.875,548,548,548,11,20
-43.625,147.875,547,547,547,7,7
28.125,-85.125,546,546,546,2,4
-64.625,-63.125,545,545,545,12,19
22.375,-70.375,545,545,545,13,32
22.375,-77.625,545,545,545,11,30
25.625,-77.375,544,544,544,16,49
41.125,-66.375,543,543,543,4,5
41.625,143.375,542,542,542,4,4
60.125,-145.625,542,542,510,2,2
59.375,-148.875,542,542,542,5,7
-27.625,154.625,542,542,542,1,1
-64.625,-62.625,541,541,541,13,20
-41.875,175.625,540,540,540,2,2
19.875,-82.375,540,540,540,15,30
20.625,-68.875,540,540,540,14,33
46.875,-124.625,539,539,539,3,3
21.125,-69.625,538,538,538,14,32
39.875,144.625,538,538,538,1,1
41.875,-65.625,537,537,537,2,3
49.625,-7.875,537,537,537,1,1
-63.875,-61.625,537,537,537,13,20
-64.625,149.875,537,537,537,2,2
44.625,144.875,535,535,535,2,2
39.375,146.375,535,535,535,3,3
-62.375,-59.625,533,533,533,1,1
18.375,-63.625,533,533,533,12,26
34.625,-75.625,533,533,533,5,6
24.125,-80.875,532,532,532,14,27
57.125,-146.875,531,531,531,2,2
38.125,142.125,530,530,530,8,8
48.125,-125.125,529,529,529,6,6
-65.125,112.375,529,529,529,1,1
18.875,-66.875,529,529,529,15,36
32.875,135.625,529,529,529,5,5
51.625,2.375,529,529,529,6,6
21.375,-75.875,528,528,528,11,30
71.875,-131.875,527,527,527,2,2
-64.875,-64.625,525,525,525,9,10
42.375,-70.625,525,525,525,4,5
37.375,142.125,524,524,524,1,1
-42.625,148.375,524,524,524,2,2
65.625,9.125,523,523,523,1,1
60.375,-147.875,523,523,523,5,5
21.625,-76.375,523,523,523,11,30
47.625,-4.375,523,523,523,4,4
25.375,-81.125,523,523,523,8,8
72.375,-149.875,521,521,521,1,1
61.125,3.125,520,520,520,2,2
41.375,140.125,519,519,519,4,5
-11.625,129.875,519,519,519,3,3
-41.625,175.625,519,519,519,12,15
54.375,-160.375,518,518,518,2,2
42.875,144.875,518,518,518,3,3
20.375,-66.875,516,516,516,13,33
-38.375,147.375,516,516,516,1,1
57.125,-134.625,513,513,513,6,6
23.125,-84.125,513,513,513,15,43
51.625,-8.375,512,512,512,9,11
22.625,-84.375,512,512,512,13,29
22.625,-78.125,511,511,511,11,28
