G2expocode,G2cruise,G2station,G2year,G2month,G2day,G2latitude,G2longitude,G2depth,G2tco2,G2talk,G2temperature,G2salinity,G2phtsinsitutp,G2tco2qc,G2talkqc,G2phtsqc
74EQ20151206,1109.0,44.0,2015.0,12.0,19.0,26.5,-74.8,7.0,2037.7,2390.4,26.185,36.569,8.06868754074578,1.0,1.0,0.0
74EQ20151206,1109.0,45.0,2015.0,12.0,19.0,26.5,-74.519,7.0,2054.8,2397.4,25.71,36.584,8.05911614667898,1.0,1.0,0.0
33RO19980123,341.0,104.0,1998.0,2.0,19.0,26.5,-74.517,4.0,2044.7,2395.5,22.293,36.635,8.1297,1.0,1.0,1.0
33RO19980123,341.0,103.0,1998.0,2.0,19.0,26.5,-74.251,4.0,2045.9,2399.9,21.938,36.638,8.1334,1.0,1.0,1.0
74EQ20151206,1109.0,46.0,2015.0,12.0,20.0,26.5,-74.238,7.0,2025.7,2390.2,26.062,36.557,8.08852385471514,1.0,1.0,0.0
33RO19980123,341.0,101.0,1998.0,2.0,19.0,26.5,-73.583,4.0,2042.2,2393.8,22.271,36.657,8.1335,1.0,1.0,1.0
33RO19980123,341.0,100.0,1998.0,2.0,18.0,26.5,-73.216,4.0,2036.7,2393.0,23.837,36.685,8.1243,1.0,1.0,1.0
33RO19980123,341.0,99.0,1998.0,2.0,18.0,26.5,-72.85,5.0,2042.8,2407.5,23.575,36.78,8.131,1.0,1.0,1.0
33RO19980123,341.0,98.0,1998.0,2.0,18.0,26.5,-72.467,4.0,2043.1,2412.8,23.201,36.78,8.1342,1.0,1.0,1.0
74EQ20151206,1109.0,51.0,2015.0,12.0,21.0,26.5,-72.378,7.0,2034.1,2398.7,25.083,36.631,8.10133285851638,1.0,1.0,0.0
33RO19980123,341.0,97.0,1998.0,2.0,18.0,26.5,-72.1,4.0,2039.2,2397.6,23.14,36.785,8.1298,1.0,1.0,1.0
74EQ20151206,1109.0,52.0,2015.0,12.0,21.0,26.5,-71.917,6.0,2048.2,2393.2,25.211,36.579,8.07119001200981,1.0,1.0,0.0
33RO19980123,341.0,96.0,1998.0,2.0,18.0,26.5,-71.734,5.0,2040.5,2406.7,23.265,36.766,8.1383,1.0,1.0,1.0
33RO19980123,341.0,94.0,1998.0,2.0,17.0,26.5,-71.0,4.0,2034.8,2402.8,23.775,36.756,8.1334,1.0,1.0,1.0
74EQ20151206,1109.0,43.0,2015.0,12.0,19.0,26.501,-75.067,6.0,2045.0,2389.0,26.299,36.531,8.05435758852569,1.0,1.0,0.0
74EQ20151206,1109.0,47.0,2015.0,12.0,20.0,26.501,-73.934,6.0,2033.1,2390.7,26.22,36.538,8.07593540903365,1.0,1.0,0.0
74EQ20151206,1109.0,53.0,2015.0,12.0,22.0,26.502,-71.461,5.0,2037.6,2397.1,25.329,36.579,8.09088914421236,1.0,1.0,0.0
74DI20100106,699.0,17.0,2010.0,1.0,9.0,26.503,-76.782,9.0,2050.4,2390.8,23.67,36.705,8.096,1.0,1.0,0.0
74EQ20151206,1109.0,50.0,2015.0,12.0,21.0,26.503,-72.842,6.0,2040.9,2384.6,25.287,36.525,8.07006140285611,1.0,1.0,0.0
33RO19980123,341.0,114.0,1998.0,2.0,21.0,26.505,-76.422,3.0,2040.5,2396.8,22.647,36.663,8.135,1.0,1.0,1.0
74DI20100106,699.0,39.0,2010.0,1.0,14.0,26.508,-72.464,5.0,2051.1,2396.9,23.67,36.752,8.1029,1.0,1.0,0.0
74DI20100106,699.0,41.0,2010.0,1.0,15.0,26.514,-71.719,4.0,2049.1,2398.0,24.106,36.76,8.1008,1.0,1.0,0.0
74EQ20151206,1109.0,27.0,2015.0,12.0,13.0,26.517,-76.825,6.0,2027.0,2389.6,26.305,36.525,8.08245947593904,1.0,1.0,0.0
33RO19980123,341.0,121.0,1998.0,2.0,22.0,26.52,-76.9,5.0,2023.1,2369.7,24.098,36.264,8.1115,1.0,1.0,1.0
33HH20180625,4048.0,184.0,2018.0,7.0,29.0,26.9582,-79.6188,6.0,2022.83,2370.194348,29.7861,36.1914,8.03289938449124,0.0,0.0,0.0
33RO20070710,344.0,34.0,2007.0,7.0,19.0,26.962,-79.624,4.2,2004.8,2370.6,30.051,36.163,8.0483,1.0,1.0,0.0
33RO20070710,344.0,34.0,2007.0,7.0,19.0,26.962,-79.624,10.0,2004.9,2370.4,30.059,36.158,8.0476,1.0,1.0,0.0
33RO20070710,344.0,32.0,2007.0,7.0,19.0,26.963,-79.777,3.8,2014.0,2378.3,30.335,36.241,8.0396,1.0,1.0,0.0
33RO20070710,344.0,33.0,2007.0,7.0,19.0,26.963,-79.687,4.1,2006.5,2373.2,30.106,36.181,8.0482,1.0,1.0,0.0
33RO20070710,344.0,33.0,2007.0,7.0,19.0,26.963,-79.687,9.5,2006.6,2372.1,30.109,36.18,8.0464,1.0,1.0,0.0
33RO20120721,4057.0,29.0,2012.0,7.0,31.0,26.965,-79.499,3.0,2025.12,2353.1,29.45,35.997,8.03682367473644,1.0,1.0,1.0
33RO20070710,344.0,30.0,2007.0,7.0,19.0,26.967,-79.931,3.9,2019.1,2387.1,30.558,36.333,8.0392,1.0,1.0,0.0
33RO20070710,344.0,30.0,2007.0,7.0,19.0,26.967,-79.931,9.8,2021.9,2386.5,30.3,36.298,8.0383,1.0,1.0,0.0
33RO20070710,344.0,31.0,2007.0,7.0,19.0,26.968,-79.851,3.8,2024.2,2390.1,30.538,36.373,8.0354,1.0,1.0,0.0
33RO20120721,4057.0,28.0,2012.0,7.0,31.0,26.969,-79.62,3.0,2007.96,2359.45,29.411,36.02,8.03720616580416,1.0,1.0,1.0
33RO20170718,4058.0,102.0,2017.0,8.0,20.0,26.9693,-79.617,3.0,2023.4,2375.93,30.117,36.327,8.02490417877136,0.0,0.0,0.0
33RO20120721,4057.0,27.0,2012.0,7.0,31.0,26.973,-79.686,3.0,2007.43,2364.38,29.446,36.022,8.03677876876694,1.0,1.0,1.0
33RO20170718,4058.0,103.0,2017.0,8.0,20.0,26.9742,-79.499,3.0,2020.0,2373.79,29.867,36.317,8.02744331835089,0.0,0.0,0.0
33RO20120721,4057.0,30.0,2012.0,7.0,31.0,26.975,-79.383,3.0,2002.75,2353.74,29.304,35.973,8.04149325937951,1.0,1.0,1.0
33RO20120721,4057.0,30.0,2012.0,7.0,31.0,26.975,-79.383,9.0,2003.64,2354.0873472215,29.301,35.953,8.04161043383903,1.0,1.0,1.0
